payment_id,user_id,amount,method,card_number,payment_date
P0,U32037,199,Card,4709697233546693,2024-08-02
P1,U28922,299,Card,7033594684466025,2023-04-23
P2,U45794,299,UPI,9463505564696459,2024-03-28
P3,U46720,299,UPI,5777353674499512,2024-02-13
P4,U46025,499,UPI,4546792741003372,2024-07-08
P5,U6317,499,UPI,9523165453020878,2024-09-27
P6,U217,199,Card,3381248845759593,2023-06-22
P7,U16611,199,UPI,1539400120589102,2024-09-06
P8,U31820,299,UPI,3130809790469069,2023-05-24
P9,U46530,299,Card,6819905017904711,2024-08-08
P10,U34468,299,Card,6779947615296646,2024-03-20
P11,U41018,499,UPI,5227229336608862,2023-06-13
P12,U44837,499,Card,9929243333327239,2024-02-08
P13,U16566,199,UPI,5497781610304601,2023-01-23
P14,U39919,299,Card,8680868090331898,2024-12-21
P15,U17736,499,Card,2483303035444658,2024-04-29
P16,U47418,199,Card,9723232187245527,2024-10-30
P17,U46767,199,UPI,5826817510590857,2024-02-02
P18,U2867,199,Card,6421753308469222,2024-12-08
P19,U8369,299,UPI,7645772080190741,2024-06-08
P20,U40279,499,Card,4592007373696557,2023-08-22
P21,U41582,299,Card,4229108234931392,2024-04-26
P22,U7257,299,UPI,2479088637112434,2024-03-06
P23,U13898,499,UPI,8242478743725551,2024-05-05
P24,U48729,499,UPI,3582447927560504,2023-06-20
P25,U2540,499,UPI,4384958343006999,2024-05-05
P26,U43761,499,UPI,9447357379159667,2023-06-13
P27,U37084,199,UPI,6553275499934539,2024-11-21
P28,U21876,299,Card,4638987647311703,2024-05-07
P29,U43041,499,UPI,5069930013807693,2023-07-23
P30,U32455,299,Card,1384525305707861,2023-09-06
P31,U35285,199,Card,1516878334910677,2023-11-02
P32,U1810,499,Card,2867058355593848,2024-05-07
P33,U81,299,Card,4236933241905241,2024-10-13
P34,U20428,499,Card,6057014309335443,2023-06-24
P35,U36624,299,UPI,3229033255054662,2023-06-11
P36,U48222,499,Card,4115323717492320,2023-10-10
P37,U48136,299,Card,2430890357802044,2024-11-13
P38,U24591,499,Card,8498459877683498,2023-06-01
P39,U36265,299,Card,6428571861319949,2024-10-04
P40,U32749,299,UPI,6862176681840466,2023-06-12
P41,U1451,499,Card,3628520326818321,2023-04-09
P42,U6174,199,UPI,6978269560227335,2023-01-23
P43,U45201,299,Card,7844703026314485,2024-11-26
P44,U31103,499,Card,7180688802833727,2023-08-15
P45,U45318,199,UPI,3107874729321630,2024-07-10
P46,U47178,199,Card,3529507376658333,2024-03-29
P47,U49785,299,UPI,5223166405214492,2023-09-04
P48,U37008,199,UPI,6073181814015181,2024-02-19
P49,U20108,299,UPI,1804358257496397,2024-02-03
P50,U22888,199,UPI,5773742630994142,2024-08-25
P51,U22088,199,UPI,6812463278532347,2023-07-04
P52,U12733,299,Card,9228848901918783,2023-02-08
P53,U17089,199,Card,1989154989692650,2024-02-22
P54,U10697,299,UPI,3192815300910789,2023-10-29
P55,U10744,499,UPI,3233995726932883,2024-11-08
P56,U32185,299,UPI,3743377752231476,2023-06-23
P57,U6815,299,Card,4949345988286914,2024-01-09
P58,U47244,499,Card,9396101047034908,2023-09-24
P59,U6545,199,Card,2475946663040506,2023-10-23
P60,U49078,299,Card,6917510759602959,2023-09-14
P61,U24020,499,Card,2974360988239769,2023-05-27
P62,U11475,499,Card,3974706854501085,2024-04-24
P63,U614,299,UPI,9476141977378072,2023-02-22
P64,U15639,499,Card,4713243435394328,2023-09-07
P65,U43409,499,Card,3979633660015793,2023-08-01
